Country,Job_Title,Max_Salary
Australia,"Manager Records Administration",138600
Australia,compositor,138600
Australia,"Field Marketing Specialist",138600
Australia,"Senior Executive Support Officer",137060
Australia,"Senior Event Officer",137060
Australia,"Security Specialist",137060
Australia,"Collection Management Librarian",136422.44
Australia,"Exam Development",135520
Australia,"Research Coordinator",134283.38
Australia,"Operations coordinator and EA",133980
Australia,"Electronic Engineer",133518
Australia,"Postdoctoral Researcher",132683.32
Australia,"Liaison Officer",132440
Australia,"Marketing Advisor",132440
Australia,"Office Admin Manager",132132
Australia,"Risk consultant",131000
Australia,"Business Operations Manager",130900
Australia,"EA/Office Manager",130900
Australia,"Accounts manager",130900
Australia,"Risk & Compliance Consultant",130900
Australia,"program development officer",130900
Australia,"Program Officer",130900
Australia,"Manager of Developer Relations",130000
Australia,"Personal Assistant",129360
Australia,"Project Administrator",128128
Australia,"EA to CEO",127820
Australia,"Senior Library Learning Advisor",127157.8
Australia,"Brand manager",127050
Australia,Engineer,126280
Australia,"Instructional Designer",126280
Australia,"Legal Secretary",126280
Australia,"Senior claims executive",124740
Australia,"Senior officer",124740
Australia,"Web developer",124432
Australia,"Personal Assistant to Director of Clinical Services",123200
Australia,"Customer service manager",123200
Australia,"Digital Marketing Specialist",123200
Australia,"Business Development Manager",123200
Australia,"Speech Pathologist",121660
Australia,"Secondary Teacher",120937.74
Australia,"Marketing Coordinator",120120
Australia,Accountant,120120
Australia,"Research Assistant",120120
Australia,"Exec assistant",120120
Australia,Caseworker,120120
Australia,"Project Support Officer",118734
Australia,"Campaign Analyst",118580
Australia,"Child protection worker",117663.7
Australia,Journalist,117040
Australia,Editor,116596.48
Australia,"Workforce optimisation analyst",116453.26
Australia,"HR manager",115500
Australia,"Engineering Geologist",115500
Australia,Paralegal/EA,115500
Australia,"Research Officer",115500
Australia,"Student Engagement Officer",115500
Australia,"Administrative Assistant",115500
Australia,"Senior Tax Accountant",115500
Australia,EA,115500
Australia,Payroll,115500
Australia,"Brand and campaigns officer",114576
Australia,"Digital Editor",113960
Australia,"Secondary School Teacher",113388.66
Australia,"Human Resources Officer",112112
Australia,"Assessment officer",111494.46
Australia,"Communications officer",110880
Australia,"case worker",110880
Australia,"Digital marketing",109340
Australia,"Senior School Officer",108908.8
Australia,"Executive Assistant to the Director",107800
Australia,"Technical Project Manager",107800
Australia,"Graphic Designer",107800
Australia,"Environmental Data Manager",107800
Australia,"Fraud Analyst",107800
Australia,Solicitor,107800
Australia,"Intake officer",107800
Australia,"Administrative Support Officer",107063.88
Australia,"senior research assistant",106260
Australia,"Governance and administration officer",105976.64
Australia,"Sales Coordinator",105490
Australia,"Assistant Bank Manager",104720
Australia,"Events Officer",104720
Australia,"Student Services",103180
Australia,"Risk Compliance Officer",103180
Australia,"Assistant Project Manager",103180
Australia,Agronomist,102950.54
Australia,"Education Manager",101640
Australia,"Associate Head: School of Sciences",100400
Australia,"Head of Production",100100
Australia,"Tech Consultant",100100
Australia,"Contract administrator",100100
Australia,"Software Developer (junior)",100100
Australia,"Events and Fundraising Coordinator",100100
Australia,"Project Officer - Palliative Care",100100
Australia,"Front End Web Developer",100100
Australia,Service/Administration,96096
Australia,Producer,95480
Australia,"Support Services Officer Level 1",94828.58
Australia,"Community Rehabilitation and Support Worker",94754.66
Australia,"Learning and Development Adviser",93940
Australia,"Visitor Services and Volunteer Coordinator",93940
Australia,"Merchandiser & SEO coordinator",92400
